                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 0.6748,                0.85426,                0.98498,                0.98116,                      1,                  0.995,                0.84801,                0.64121,                 0.8851,                 1.0256,              0.0013204,              0.0013204,              0.0013204
                     65,                0.76473,                0.78677,                 0.9605,                0.98116,                      1,                  0.995,                0.84801,                0.64121,                 0.8851,                 1.0256,              0.0013149,              0.0013149,              0.0013149
                     66,                0.86561,                0.90224,                0.99887,                0.98365,                      1,                  0.995,                0.89081,                0.65903,                0.92952,                 1.0648,              0.0013094,              0.0013094,              0.0013094
                     67,                 0.6508,                0.83751,                0.92705,                0.98365,                      1,                  0.995,                0.89081,                0.65903,                0.92952,                 1.0648,              0.0013039,              0.0013039,              0.0013039
                     68,                0.69413,                0.79966,                0.97748,                0.98188,                      1,                  0.995,                0.82255,                0.82878,                0.98797,                 1.1767,              0.0012984,              0.0012984,              0.0012984
                     69,                0.79809,                0.83173,                 1.0343,                0.98188,                      1,                  0.995,                0.82255,                0.82878,                0.98797,                 1.1767,              0.0012929,              0.0012929,              0.0012929
                     70,                 0.6685,                 0.7592,                 0.9757,                0.98615,                      1,                  0.995,                0.79321,                0.85048,                0.96024,                 1.1813,              0.0012874,              0.0012874,              0.0012874
                     71,                0.74353,                  0.778,                 1.0131,                0.98615,                      1,                  0.995,                0.79321,                0.85048,                0.96024,                 1.1813,              0.0012819,              0.0012819,              0.0012819
                     72,                 0.6957,                0.76346,                0.95594,                0.98575,                      1,                  0.995,                0.86593,                0.61009,                0.83597,                 1.0376,              0.0012764,              0.0012764,              0.0012764
                     73,                0.69068,                 0.7323,                0.96598,                0.98575,                      1,                  0.995,                0.86593,                0.61009,                0.83597,                 1.0376,              0.0012709,              0.0012709,              0.0012709
                     74,                0.58997,                0.74685,                0.95636,                0.98429,                      1,                  0.995,                 0.8858,                0.62055,                0.83798,                 1.0228,              0.0012654,              0.0012654,              0.0012654
                     75,                0.71425,                0.69994,                0.96226,                0.98429,                      1,                  0.995,                 0.8858,                0.62055,                0.83798,                 1.0228,              0.0012599,              0.0012599,              0.0012599
                     76,                0.67459,                0.76151,                0.97692,                0.98836,                      1,                  0.995,                0.85593,                0.62007,                0.81969,                 1.0018,              0.0012544,              0.0012544,              0.0012544
                     77,                0.70454,                0.73903,                0.99737,                0.98836,                      1,                  0.995,                0.85593,                0.62007,                0.81969,                 1.0018,              0.0012489,              0.0012489,              0.0012489
                     78,                0.68043,                  0.829,                0.98559,                0.98487,                      1,                  0.995,                 0.8838,                0.64088,                 0.9301,                 1.0151,              0.0012434,              0.0012434,              0.0012434
                     79,                0.67571,                0.70083,                0.97693,                0.98487,                      1,                  0.995,                 0.8838,                0.64088,                 0.9301,                 1.0151,              0.0012379,              0.0012379,              0.0012379
                     80,                0.62911,                0.67277,                0.97223,                0.98183,                      1,                  0.995,                0.81906,                0.79596,                0.97613,                 1.0966,              0.0012324,              0.0012324,              0.0012324
                     81,                0.73786,                 0.8235,                 1.0257,                0.98183,                      1,                  0.995,                0.81906,                0.79596,                0.97613,                 1.0966,              0.0012269,              0.0012269,              0.0012269
                     82,                0.67481,                0.66003,                 0.9481,                 0.9791,                      1,                  0.995,                0.83554,                0.82274,                 1.0192,                  1.113,              0.0012214,              0.0012214,              0.0012214
                     83,                0.63865,                0.73113,                0.94886,                 0.9791,                      1,                  0.995,                0.83554,                0.82274,                 1.0192,                  1.113,              0.0012159,              0.0012159,              0.0012159
                     84,                0.82788,                 0.8943,                 1.1157,                0.97901,                      1,                  0.995,                0.81906,                0.78432,                0.96024,                 1.0751,              0.0012104,              0.0012104,              0.0012104
                     85,                0.55215,                0.69062,                0.89108,                0.97901,                      1,                  0.995,                0.81906,                0.78432,                0.96024,                 1.0751,              0.0012049,              0.0012049,              0.0012049
                     86,                0.63303,                0.70643,                0.97494,                0.98852,                      1,                  0.995,                0.83719,                0.69474,                0.83158,                 1.0231,              0.0011994,              0.0011994,              0.0011994
                     87,                0.62753,                0.65144,                0.95583,                0.98852,                      1,                  0.995,                0.83719,                0.69474,                0.83158,                 1.0231,              0.0011939,              0.0011939,              0.0011939
                     88,                0.64557,                0.67121,                0.96057,                 0.9762,                      1,                  0.995,                 0.8366,                0.69334,                0.80765,                 1.0093,              0.0011884,              0.0011884,              0.0011884
                     89,                0.74289,                0.69114,                0.94566,                 0.9762,                      1,                  0.995,                 0.8366,                0.69334,                0.80765,                 1.0093,              0.0011829,              0.0011829,              0.0011829
                     90,                0.69223,                0.71879,                0.96876,                0.96814,                      1,                  0.995,                0.84621,                0.69425,                0.78693,                 1.0129,              0.0011774,              0.0011774,              0.0011774
                     91,                0.68901,                0.64403,                0.88898,                0.96814,                      1,                  0.995,                0.84621,                0.69425,                0.78693,                 1.0129,              0.0011719,              0.0011719,              0.0011719
                     92,                0.64971,                0.67276,                0.93026,                0.98406,                      1,                  0.995,                0.83394,                0.73442,                0.78512,                 1.0624,              0.0011664,              0.0011664,              0.0011664
                     93,                0.73744,                0.73008,                0.98904,                0.98406,                      1,                  0.995,                0.83394,                0.73442,                0.78512,                 1.0624,              0.0011609,              0.0011609,              0.0011609
                     94,                0.68011,                0.70767,                0.97187,                0.98566,                      1,                  0.995,                0.81998,                0.76741,                 0.7408,                 1.1089,              0.0011554,              0.0011554,              0.0011554
                     95,                0.70582,                 0.7734,                 0.9831,                0.98566,                      1,                  0.995,                0.81998,                0.76741,                 0.7408,                 1.1089,              0.0011499,              0.0011499,              0.0011499
                     96,                0.60302,                0.63948,                0.88438,                0.97865,                      1,                  0.995,                0.82997,                0.72503,                0.74011,                 1.1003,              0.0011444,              0.0011444,              0.0011444
                     97,                0.65182,                0.63103,                0.90979,                0.97865,                      1,                  0.995,                0.82997,                0.72503,                0.74011,                 1.1003,              0.0011389,              0.0011389,              0.0011389
